,silhouette,calinski,davies,rand,ari,mi,nmi
10,0.6539868571844775,856.218727239683,1.3137629203373138,0.4844839118165387,0.10726151453367747,0.13356816406303823,0.18551612487583694
100,0.6539868571844775,856.218727239683,1.3137629203373138,0.4844839118165387,0.10726151453367747,0.13356816406303823,0.18551612487583694
500,0.6154059888635165,329.30130353980513,1.9140243584605658,0.45737561389862735,0.07548328537752268,0.0954411622871417,0.1389111772260463
1000,0.608064256257441,256.30691726005944,2.0968694122501597,0.4558256020621733,0.07392216337052956,0.09356691566861543,0.13690951822747394
10000,0.6181160520461187,120.86985877147802,1.9596023502909743,0.41709127596974377,0.03358733830133492,0.04706486120738386,0.07463858189407566
